index;count;date;enddate;entity_text;entity_type;levenshtein;match_type;newspaper;party;politician;relevance;response_id;role;search_term;sentiment;sentiment_id;startdate;url;datetimedelta;sentimentcategory
2018-04-26;1;2018-04-26;2018-04-27;LINKE;Organization;-1;2;www.neues-deutschland.de;Die Linke;Die Linke;0.2038;b47a0152-e522-4bdd-a8dd-0e1b20cc20d3;party name;Michael MÃ¼ller;-0.8476;aef5f985-eced-4bc7-a609-8cd578fa8c98;2018-04-24;https://www.neues-deutschland.de/artikel/1086372.tempelhofer-feld-regierender-betonmeister.html;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;CDU;Organization;-1;2;www.neues-deutschland.de;CDU;CDU;0.137314;b47a0152-e522-4bdd-a8dd-0e1b20cc20d3;party name;Michael MÃ¼ller;0.0;a14d01d6-92b9-438e-9f2d-069f1db3a04f;2018-04-24;https://www.neues-deutschland.de/artikel/1086372.tempelhofer-feld-regierender-betonmeister.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;CDU;Organization;-1;2;www.neues-deutschland.de;CDU;CDU;0.0937524;8495a217-76bc-4ac0-9822-fbc4f8ddf3f8;party name;NPD;0.0;9e411098-5ad4-4355-831c-500b370e8ec0;2018-04-26;https://www.neues-deutschland.de/artikel/1086671.massnahmen-gegen-rechtsradikalismus-npd-blueht-finanzielle-trockenlegung.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Heiko Maas;Person;-1;1;www.tagesschau.de;SPD;Heiko Maas;0.0353435;cb548c60-cea4-42c9-a56c-e45f87991419;minister government 1;Heiko Maas;0.0;1ebccce2-cc71-4621-a4b9-7dc19e1be298;2018-04-25;https://www.tagesschau.de/ausland/syrien-konferenz-bruessel-107.html;478.0;neutral
2018-04-26;3;2018-04-26;2018-04-27;NPD;Organization;-1;1;www.neues-deutschland.de;NPD;NPD;0.277103;8495a217-76bc-4ac0-9822-fbc4f8ddf3f8;party name;NPD;0.0;476453a9-efca-4fdf-b5a8-0f0e85c3cade;2018-04-26;https://www.neues-deutschland.de/artikel/1086671.massnahmen-gegen-rechtsradikalismus-npd-blueht-finanzielle-trockenlegung.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;CSU;Organization;-1;2;www.neues-deutschland.de;CSU;CSU;0.104021;8495a217-76bc-4ac0-9822-fbc4f8ddf3f8;party name;NPD;0.0;fd75b1e2-2b3c-4cb9-b2ad-dafc3b32a1ae;2018-04-26;https://www.neues-deutschland.de/artikel/1086671.massnahmen-gegen-rechtsradikalismus-npd-blueht-finanzielle-trockenlegung.html;478.0;neutral
2018-04-26;3;2018-04-26;2018-04-27;Angela Merkel;Person;-1;2;www.welt.de;CDU;Angela Merkel;0.150474;6ebc6b11-a12a-4894-bfad-feace95a83c8;Chancellor;Olaf Scholz;0.0;7e6fa27f-2ade-45da-a7a8-ed77125ac4c4;2018-04-26;https://www.welt.de/wirtschaft/article175905839/Neuer-Haushalt-Deutschland-gibt-weniger-fuer-Ruestung-aus-als-Trump-fordert.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;CDU;Organization;-1;2;www.welt.de;CDU;CDU;0.0574478;6ebc6b11-a12a-4894-bfad-feace95a83c8;party name;Olaf Scholz;0.0;92450c7c-8fc8-45f2-8b67-cffe96ab09b4;2018-04-26;https://www.welt.de/wirtschaft/article175905839/Neuer-Haushalt-Deutschland-gibt-weniger-fuer-Ruestung-aus-als-Trump-fordert.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Ulla Jelpke von der Linken;Person;-1;2;www.zeit.de;Die Linke;Ulla Jelpke;0.178029;eeb77326-2e20-4935-8a74-904b69d21a44;member of federal parliament 1;NPD;0.0;fe565896-9e45-4aa7-aca5-e1692c73aa6b;2018-04-26;https://www.zeit.de/politik/deutschland/2018-04/parteienfinanzierung-bundestag-npd-antrag-bundesverfassungsgericht;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Merkels;Person;8;4;www.zeit.de;CDU;Angela Merkel;0.146662;eeb77326-2e20-4935-8a74-904b69d21a44;Chancellor;NPD;0.0;1721d65a-de0d-43ed-b88f-70507a067b1f;2018-04-26;https://www.zeit.de/thema/eisenhuettenstadt;478.0;neutral
